HHID,TRIPDIST,TRIPSPD,TRIPDUR
110414,2.0025,19.6175,340.5
110423,5.598863636,21.33,652.2142857
110428,5.644897959,21.31612245,811.1521739
110429,4.457419355,23.73290323,527.3846154
110430,7.360746269,26.38701493,952.09375
110442,2.283809524,11.11595238,698.125
110446,4.1325,9.26125,1227.173913
110456,3.590714286,23.59107143,453.0740741
110475,6.743414634,18.23463415,885.75
110507,7.813148148,28.50648148,787.4565217
110518,13.2990625,31.5809375,1115.5
110522,5.695121951,25.79585366,654.775
110523,0.732,8.058,425.7777778
110529,2.536521739,23.70217391,317.6363636
110543,3.208571429,18.81714286,590.1666667
110560,11.406875,23.18,1138.37931
110561,2.6275,19.86522727,498.05
110566,8.861639344,25.91737705,917.6551724
110605,4.072631579,16.98684211,780.4117647
110609,4.307560976,20.89512195,743.3947368
110613,4.456,31.64,470.4
110629,5.218478261,24.97391304,776.1521739
110632,5.174782609,19.84173913,866.95
110664,9.897741935,29.14354839,1009.172414
110672,3.716666667,22.04041667,709.1304348
110679,5.454375,26.186875,705.125
110696,3.05725,16.36725,684.25
110698,4.78173913,22.77811594,726.6376812
110848,4.013513514,21.81,614.3428571
110849,1.113333333,14.58888889,265.1111111
110854,10.0625,28.9055,996.0555556
110865,8.363023256,29.28,927.5897436
110869,11.77222222,30.95111111,1155.114286
110913,7.18,27.43636364,704.0909091
110925,3.7425,19.525,693.5
110929,2.730294118,21.63470588,451.1212121
110935,5.34875,16.48125,1208.875
110936,2.23,11.54125,563
110959,5.223661972,24.87802817,661.5428571
110982,7.62673913,29.68282609,764.4
110991,3.084745763,20.46966102,449.122807
110996,2.680724638,14.57405797,790.2881356
111019,2.065909091,15.45363636,365.9473684
111033,7.973870968,23.30322581,1077.535714
111052,4.388181818,21.19909091,542.25
111058,16.1304,31.1576,1606.652174
111081,6.027777778,19.75222222,1095.125
111097,3.634444444,17.91666667,604
111103,8.197142857,29.18428571,1024.285714
111125,3.136666667,20.28666667,564.6
111140,5.738333333,23.93777778,777.0555556
111154,4.759722222,16.01527778,613.1515152
111155,7.00875,22.555,1037.6
111173,6.26122807,23.34368421,734.6363636
111185,2.322631579,20.16578947,334.7777778
111187,7.491515152,30.14424242,849
111197,3.00875,22.388125,382.4375
111213,4.035555556,11.17111111,4020.875
111221,3.122666667,19.438,526.8571429
111223,11.62521739,29.6626087,1251.842105
111232,53.2,55.49,3451
111239,8.139655172,26.37482759,973.0714286
111253,4.08,20.58375,677.7916667
111257,1.628,11.39466667,671.8666667
111263,5.415263158,15.62315789,773.2941176
111269,4.557631579,22.24026316,591.3870968
111273,3.962641509,19.97773585,580.0851064
111308,6.209230769,26.19538462,749.84
111313,13.68027027,20.97189189,1122
111315,3.77,16.318,783
111328,5.658125,23.938125,668.5777778
111345,9.311111111,24.31555556,1278.857143
111351,3.080769231,19.58846154,557.5
111363,9.131111111,28.16222222,1132.25
111390,3.708888889,20.63462963,557.4423077
111392,3.215625,18.79625,559.6666667
111396,4.885681818,20.41068182,717.4615385
111421,4.86546875,22.8334375,764.5390625
111459,2.203076923,14.12307692,524.4166667
111470,0.315789474,5.608947368,206.8666667
111497,4.155625,23.460625,645.2666667
111498,5.548611111,23.21388889,761.0294118
111501,11.21833333,28.765,1243.727273
111502,1.046666667,12.095,342.3333333
111509,3.062631579,13.62789474,848.0857143
111517,8.774482759,22.31137931,1302.384615
111536,3.186666667,21.54095238,399.6097561
111552,5.53625,32.9325,516.2857143
111558,3.52625,23.950625,528
111561,1.931428571,15.27714286,449
111564,4.857,23.792,715.0357143
111572,11.26547619,30.88238095,1047.128205
111574,12.11405405,32.18243243,1080.472222
111576,3.792619048,21.13714286,565.3414634
111577,13.236,24.808,1339.962264
111609,3.623714286,18.00714286,657.375
111612,4.814285714,19.29857143,753.5
111624,3.704,23.70133333,512
111627,6.737647059,23.36823529,818.7333333
111630,6.528360656,26.32262295,716.1666667
111659,4.153333333,20.74333333,677
111715,4.768947368,26.61684211,615.7058824
111722,6.151388889,26.25583333,777.0571429
111725,1.155882353,13.61117647,298
111738,6.017777778,27.17920635,681.6774194
111747,10.26235294,31.27294118,980.1176471
111799,2.827090909,17.68054545,517.8148148
111810,1.56,19.53235294,291.4117647
111816,5.553125,26.4434375,600.625
111823,8.23,33.05103448,774.2857143
111841,3.8025,20.41178571,549.1923077
111850,4.199,22.821,586.2758621
111852,0.3025,10.7025,104
111863,11.29428571,27.85809524,1130
111864,1.91625,18.3225,477.7142857
111873,11.035,30.454,1156.444444
111905,3.526,15.52,678.8
111908,7.367407407,24.53481481,919.9583333
111914,0.52,9.653333333,195.25
111929,8.235,30.58625,708.5625
111937,6.621071429,27.485,856.6818182
111950,2.491428571,17.61142857,427
111951,4.157321429,19.49535714,756.7924528
111957,3.185833333,17.175,679.9090909
111958,3.868571429,17.89571429,739.8571429
111966,5.224583333,25.70875,664.7391304
111969,1.289090909,21.90636364,267.9
111972,3.20625,17.89625,524.7272727
112006,9.367826087,26.38521739,955.8095238
112007,0.973333333,13.505,260.3333333
112024,3.934642857,21.02464286,608
112037,16.09166667,39.33833333,1255.545455
112038,4.321944444,22.9875,610.8857143
112054,6.007142857,31.79333333,625.5714286
112055,0.534444444,11.32333333,258.1111111
112072,9.277777778,19.94518519,1486.105263
112088,11.3815,21.078,1230.285714
