Longitude,Latitude,Speed(kilometer),Course(degrees),Number Of Satellites,HDOP,Altitude(meters),DD/MM/YY,HH:MM:SS,Distance(meters)
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:41,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:42,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:43,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:44,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:45,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:46,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:47,0
-084.472321,39.246616,0,310.00,4,4.23,201.00,24/8/2009,15:43:48,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:49,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:50,0
-084.472321,39.246616,0,310.00,4,4.23,201.00,24/8/2009,15:43:51,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:52,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:53,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:54,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:55,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:56,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:57,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:58,0
-084.472321,39.246616,0,310.00,5,1.66,201.00,24/8/2009,15:43:59,0
-084.472321,39.246616,0,310.00,5,1.66,201.00,24/8/2009,15:44:0,0
-084.472321,39.246616,0,310.00,5,1.66,201.00,24/8/2009,15:44:1,0
-084.472321,39.246616,0,310.00,5,1.66,201.00,24/8/2009,15:44:2,0
-084.472321,39.246616,0,310.00,5,1.66,201.00,24/8/2009,15:44:3,0
-084.472321,39.246615,2,312.00,5,1.66,201.00,24/8/2009,15:44:4,0
-084.472325,39.246621,2,312.00,7,0.81,200.00,24/8/2009,15:44:5,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:6,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:7,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:8,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:9,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:10,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:11,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:12,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:13,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:14,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:15,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:16,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:17,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:18,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:19,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:20,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:21,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:22,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:23,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:24,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:25,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:26,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:27,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:28,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:29,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:30,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:31,0
-084.472325,39.246621,0,312.00,7,1.27,200.00,24/8/2009,15:44:32,0
-084.472325,39.246621,0,312.00,7,1.27,200.00,24/8/2009,15:44:33,0
-084.472325,39.246621,0,312.00,7,1.27,200.00,24/8/2009,15:44:34,0
-084.472325,39.246621,0,312.00,7,1.27,200.00,24/8/2009,15:44:35,0
-084.472325,39.246621,0,312.00,7,1.27,200.00,24/8/2009,15:44:36,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:37,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:38,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:39,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:40,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:41,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:42,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:43,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:44,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:45,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:46,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:47,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:48,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:49,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:50,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:51,0
-084.472325,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:52,0
-084.472321,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:53,0
-084.472321,39.246621,0,312.00,7,0.81,200.00,24/8/2009,15:44:54,0
-084.472321,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:55,0
-084.472321,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:56,0
-084.472321,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:57,0
-084.472321,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:58,0
-084.472321,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:44:59,0
-084.472321,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:45:0,0
-084.472321,39.246621,0,312.00,7,1.10,200.00,24/8/2009,15:45:1,0
-084.472321,39.246621,0,312.00,7,1.27,200.00,24/8/2009,15:45:2,0
-084.472321,39.246621,0,312.00,7,1.27,200.00,24/8/2009,15:45:3,0
-084.472321,39.246621,0,312.00,7,1.27,200.00,24/8/2009,15:45:4,0
-084.472321,39.246621,0,312.00,8,0.95,200.00,24/8/2009,15:45:5,0
